Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Category,Daily_Return,Price_Range,Volatility,Cumulative_Return,Average_Price
2024-01-01,3790.0,3832.0,3773.0,3811.10009765625,3757.422119140625,825907,TCS,IT_industry,3711.10009765625,59.0,3732.99971390622,,5695.550048828125
2024-01-02,3811.10009765625,3811.10009765625,3767.25,3783.199951171875,3729.9150390625,1344068,TCS,IT_industry,3683.199951171875,43.85009765625,3711.521697132295,-0.007320731928947111,5702.7000732421875
2024-01-03,3767.0,3771.85009765625,3687.050048828125,3691.75,3639.753173828125,1803075,TCS,IT_industry,3591.75,84.800048828125,3671.9774072295386,-0.0314933643589439,5612.875
2024-01-04,3701.75,3719.0,3651.0,3666.800048828125,3615.154541015625,3598144,TCS,IT_industry,3566.800048828125,68.0,3619.430894747947,-0.03825168879406715,5535.1500244140625
2024-01-05,3675.0,3747.75,3674.85009765625,3737.89990234375,3685.2529296875,1963127,TCS,IT_industry,3637.89990234375,72.89990234375,3649.436770816093,-0.01886153883600139,5543.949951171875
2024-01-08,3737.89990234375,3739.75,3672.39990234375,3678.300048828125,3626.492431640625,1067805,TCS,IT_industry,3578.300048828125,67.35009765625,3639.910404165132,-0.034806305495981404,5577.0499267578125
2024-01-09,3709.949951171875,3752.35009765625,3682.75,3689.89990234375,3637.928955078125,1370944,TCS,IT_industry,3589.89990234375,69.60009765625,3652.543867203744,-0.031652700834430836,5554.89990234375
2024-01-10,3690.0,3729.25,3688.0,3713.050048828125,3660.7529296875,1292227,TCS,IT_industry,3613.050048828125,41.25,3629.9246488331346,-0.02537880849315377,5546.5250244140625
2024-01-11,3724.0,3773.0,3707.0,3735.550048828125,3682.93603515625,1777909,TCS,IT_industry,3635.550048828125,66.0,3673.7642796497153,-0.019319097309464683,5591.7750244140625
2024-01-12,3848.0,3905.25,3821.60009765625,3882.800048828125,3828.112060546875,6813450,TCS,IT_industry,3782.800048828125,83.64990234375,3806.826180859232,0.020099460060203467,5789.4000244140625
2024-01-15,3960.0,3965.0,3885.0,3903.800048828125,3848.816650390625,2801505,TCS,IT_industry,3803.800048828125,80.0,3865.4815832930217,0.025508024260069706,5911.9000244140625
2024-01-16,3899.0,3899.0,3855.550048828125,3861.300048828125,3806.9150390625,1432672,TCS,IT_industry,3761.300048828125,43.449951171875,3799.1489135764455,0.014621142619742122,5829.6500244140625
2024-01-17,3819.0,3909.949951171875,3812.550048828125,3884.60009765625,3829.88671875,3458696,TCS,IT_industry,3784.60009765625,97.39990234375,3811.8047122030453,0.020655340770157626,5761.300048828125
2024-01-18,3898.0,3908.800048828125,3862.0,3902.60009765625,3847.63330078125,2239110,TCS,IT_industry,3802.60009765625,46.800048828125,3809.840383390732,0.025289050154920445,5849.300048828125
2024-01-19,3945.0,3963.550048828125,3915.050048828125,3943.050048828125,3905.52734375,2941975,TCS,IT_industry,3843.050048828125,48.5,3864.2601590132167,0.040335713504308424,5916.5250244140625
2024-01-23,3900.0,3933.89990234375,3842.75,3858.25,3821.5341796875,2618854,TCS,IT_industry,3758.25,91.14990234375,3834.301638882336,0.01882948485200775,5829.125
2024-01-24,3880.0,3883.64990234375,3805.60009765625,3841.800048828125,3805.24072265625,2657709,TCS,IT_industry,3741.800048828125,78.0498046875,3784.592167706647,0.014565894297760118,5800.9000244140625
2024-01-25,3839.89990234375,3861.0,3778.699951171875,3810.300048828125,3774.04052734375,2205154,TCS,IT_industry,3710.300048828125,82.300048828125,3761.8293335761305,0.006366624504725693,5745.0499267578125
